Activity_ID,Account_ID,Activity_Date,Activity_Type,Activity_Channel,Activity_Outcome,Activity_Score
ENG-000001,ACC-000051,2024-08-23 09:55:41,In-Person,Sales,Positive,6
ENG-000002,ACC-000036,2021-12-27 19:35:37,In-Person,Sales,Positive,10
ENG-000003,ACC-000043,2024-08-31 19:24:16,In-Person,Support,Negative,5
ENG-000004,ACC-000052,2024-09-12 09:13:02,Email,Marketing,Positive,2
ENG-000005,ACC-000018,2023-07-12 13:11:35,Email,Sales,Negative,3
ENG-000006,ACC-000048,2025-05-19 02:34:17,In-Person,Sales,Neutral,2
ENG-000007,ACC-000006,2022-07-10 10:15:29,Call,Sales,Neutral,6
ENG-000008,ACC-000049,2024-06-13 04:33:23,Webinar,Support,Positive,2
ENG-000009,ACC-000012,2024-01-23 11:27:04,In-Person,Sales,Negative,9
ENG-000010,ACC-000033,2024-06-25 20:07:24,In-Person,Support,Positive,2
ENG-000011,ACC-000023,2022-05-12 06:31:53,Call,Marketing,Negative,6
ENG-000012,ACC-000056,2023-03-06 17:14:37,In-Person,Support,Neutral,7
ENG-000013,ACC-000025,2025-05-20 04:06:58,Call,Marketing,Negative,4
ENG-000014,ACC-000037,2022-07-05 08:38:01,Email,Marketing,Neutral,3
ENG-000015,ACC-000009,2023-11-03 04:44:12,Webinar,Sales,Neutral,8
ENG-000016,ACC-000010,2022-11-10 04:24:19,Call,Support,Neutral,5
ENG-000017,ACC-000027,2024-10-15 06:58:55,Webinar,Sales,Positive,6
ENG-000018,ACC-000017,2022-09-11 06:56:26,Email,Marketing,Negative,8
ENG-000019,ACC-000039,2023-02-09 21:49:38,Email,Sales,Positive,3
ENG-000020,ACC-000020,2023-06-22 20:48:21,Call,Sales,Neutral,10
ENG-000021,ACC-000025,2023-10-05 13:38:51,Webinar,Sales,Neutral,7
ENG-000022,ACC-000053,2024-04-01 07:48:48,Email,Sales,Neutral,10
ENG-000023,ACC-000061,2023-01-07 15:53:45,Email,Sales,Neutral,3
ENG-000024,ACC-000062,2022-10-20 16:32:42,In-Person,Sales,Neutral,8
ENG-000025,ACC-000062,2022-08-08 21:27:11,Email,Sales,Neutral,5
ENG-000026,ACC-000053,2023-01-08 06:15:07,In-Person,Sales,Positive,10
ENG-000027,ACC-000013,2023-09-03 04:54:54,Email,Marketing,Negative,1
ENG-000028,ACC-000061,2025-03-30 23:20:38,In-Person,Marketing,Positive,8
ENG-000029,ACC-000052,2023-08-10 01:34:12,Webinar,Marketing,Positive,7
ENG-000030,ACC-000044,2023-06-22 11:37:11,In-Person,Support,Negative,5
ENG-000031,ACC-000016,2021-11-28 18:06:36,Webinar,Marketing,Positive,7
ENG-000032,ACC-000051,2024-11-26 16:54:06,In-Person,Support,Neutral,10
ENG-000033,ACC-000031,2024-07-24 19:15:32,In-Person,Marketing,Negative,7
ENG-000034,ACC-000035,2023-06-27 21:36:01,Call,Sales,Negative,9
ENG-000035,ACC-000039,2024-09-23 17:18:53,Call,Support,Positive,6
ENG-000036,ACC-000011,2025-01-23 01:10:35,Call,Marketing,Negative,7
ENG-000037,ACC-000062,2022-11-08 00:53:27,Webinar,Sales,Positive,1
ENG-000038,ACC-000007,2025-05-18 22:26:26,Webinar,Support,Negative,9
ENG-000039,ACC-000036,2022-05-10 02:52:14,Email,Sales,Neutral,7
ENG-000040,ACC-000030,2023-01-25 10:36:36,Email,Sales,Positive,8
ENG-000041,ACC-000007,2022-10-27 16:18:26,Webinar,Sales,Positive,2
ENG-000042,ACC-000054,2023-04-02 14:09:51,Email,Sales,Neutral,6
ENG-000043,ACC-000030,2021-09-07 14:07:27,Email,Marketing,Neutral,6
ENG-000044,ACC-000031,2023-11-19 10:10:14,Call,Sales,Negative,8
ENG-000045,ACC-000021,2025-03-01 21:08:48,Call,Sales,Positive,2
ENG-000046,ACC-000002,2022-06-07 07:25:30,Webinar,Marketing,Positive,3
ENG-000047,ACC-000060,2024-08-23 01:37:14,Email,Marketing,Positive,9
ENG-000048,ACC-000011,2022-02-10 06:07:19,Webinar,Marketing,Neutral,8
ENG-000049,ACC-000015,2021-07-23 18:27:02,In-Person,Marketing,Positive,3
ENG-000050,ACC-000041,2022-08-07 16:05:32,In-Person,Sales,Positive,10
ENG-000051,ACC-000057,2023-11-05 02:40:44,Email,Sales,Negative,7
ENG-000052,ACC-000025,2025-06-19 16:02:32,Call,Marketing,Positive,4
ENG-000053,ACC-000018,2023-12-22 20:00:58,Call,Marketing,Positive,9
ENG-000054,ACC-000012,2023-12-15 05:44:31,Webinar,Sales,Positive,8
ENG-000055,ACC-000008,2024-07-21 01:43:10,Webinar,Marketing,Neutral,9
ENG-000056,ACC-000062,2023-04-08 06:10:04,Webinar,Marketing,Neutral,10
ENG-000057,ACC-000026,2022-09-30 03:17:42,Call,Sales,Neutral,8
ENG-000058,ACC-000040,2022-02-20 08:02:17,Email,Marketing,Negative,5
ENG-000059,ACC-000059,2022-04-29 08:17:19,Call,Marketing,Positive,6
ENG-000060,ACC-000008,2022-11-22 23:59:53,Email,Sales,Positive,3
ENG-000061,ACC-000024,2022-06-20 21:26:41,Email,Marketing,Neutral,7
ENG-000062,ACC-000039,2023-02-08 15:10:55,Email,Marketing,Neutral,7
ENG-000063,ACC-000012,2023-11-30 17:01:17,In-Person,Marketing,Negative,3
ENG-000064,ACC-000036,2025-01-13 03:44:34,Email,Sales,Neutral,3
ENG-000065,ACC-000012,2022-07-15 07:12:28,Webinar,Sales,Negative,1
ENG-000066,ACC-000056,2023-08-13 05:02:14,Webinar,Support,Neutral,3
ENG-000067,ACC-000013,2023-10-31 23:10:13,In-Person,Marketing,Negative,8
ENG-000068,ACC-000027,2024-04-10 11:16:57,In-Person,Sales,Negative,8
ENG-000069,ACC-000032,2024-05-27 10:39:40,Email,Support,Negative,1
ENG-000070,ACC-000051,2022-12-04 23:02:15,Email,Sales,Positive,5
ENG-000071,ACC-000015,2022-08-02 07:33:56,Webinar,Support,Neutral,10
ENG-000072,ACC-000048,2024-09-26 09:52:32,In-Person,Marketing,Negative,2
ENG-000073,ACC-000037,2024-12-25 20:53:47,Call,Sales,Negative,6
ENG-000074,ACC-000035,2023-07-27 14:50:37,Call,Marketing,Neutral,9
ENG-000075,ACC-000014,2024-07-26 13:55:27,In-Person,Support,Negative,4
ENG-000076,ACC-000020,2024-03-21 09:49:55,Call,Sales,Neutral,6
ENG-000077,ACC-000056,2024-08-20 11:47:42,Call,Sales,Positive,4
ENG-000078,ACC-000014,2023-07-30 16:27:28,Webinar,Marketing,Negative,7
ENG-000079,ACC-000011,2023-06-14 10:40:45,Email,Support,Positive,1
