Contract_ID,Opportunity_ID,Account_ID,Start_Date,End_Date,Contract_Value,Contract_Type,Renewal_Status,Cancellation_Reason,Renewal_Type,Contract_Status
CONT-000001,OPP-000007,ACC-000028,2025-05-16 13:43:46,2026-03-11 13:43:46,435602.53,Annual,Auto-Renew,,Managed Services,Active
CONT-000002,OPP-000011,ACC-000040,2021-11-06 00:00:00,2022-11-06 00:00:00,9670.97,Annual,Non-Renewed,Business Closure,Product Licensing,Inactive
CONT-000003,OPP-000026,ACC-000008,2024-05-09 00:00:00,2025-04-04 00:00:00,318578.29,Custom,Non-Renewed,Competitor,Development Projects,Inactive
CONT-000004,OPP-000033,ACC-000013,2024-03-14 00:00:00,2024-11-09 00:00:00,351486.2,Custom,Non-Renewed,Poor Service,Data & Analytics Services,Inactive
CONT-000005,OPP-000034,ACC-000032,2024-09-13 13:43:46,2025-11-03 13:43:46,283042.86,Annual,Pending,,Staff Augmentation,Active
CONT-000006,OPP-000050,ACC-000041,2022-11-27 00:00:00,2023-02-25 00:00:00,37810.61,Quarterly,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000007,OPP-000058,ACC-000057,2024-07-17 13:43:46,2026-04-25 13:43:46,120217.28,Annual,Renewed,,Data & Analytics Services,Active
CONT-000008,OPP-000061,ACC-000032,2025-03-09 13:43:46,2026-09-30 13:43:46,21088.03,Quarterly,Pending,,Infrastructure & Environment Setup,Active
CONT-000009,OPP-000063,ACC-000038,2021-11-04 00:00:00,2022-02-02 00:00:00,411393.4,Quarterly,Non-Renewed,Merger/Acquisition,Professional Services,Inactive
CONT-000010,OPP-000067,ACC-000016,2024-11-11 13:43:46,2026-05-11 13:43:46,259192.05,Custom,Auto-Renew,,System Integration,Active
CONT-000011,OPP-000117,ACC-000052,2024-10-28 13:43:46,2027-04-04 13:43:46,285802.65,Custom,Auto-Renew,,System Integration,Active
CONT-000012,OPP-000119,ACC-000005,2021-08-25 00:00:00,2021-11-23 00:00:00,419373.78,Quarterly,Non-Renewed,Budget Constraints,Support & Maintenance,Inactive
CONT-000013,OPP-000126,ACC-000044,2022-05-14 00:00:00,2022-10-11 00:00:00,391600.1,Custom,Non-Renewed,Business Closure,Development Projects,Inactive
CONT-000014,OPP-000137,ACC-000041,2024-12-14 13:43:46,2026-01-10 13:43:46,12308.93,Custom,Pending,,Infrastructure & Environment Setup,Active
CONT-000015,OPP-000157,ACC-000057,2024-01-02 00:00:00,2025-01-01 00:00:00,444945.38,Annual,Non-Renewed,Competitor,Staff Augmentation,Inactive
CONT-000016,OPP-000178,ACC-000007,2024-04-06 00:00:00,2025-04-06 00:00:00,433527.58,Annual,Non-Renewed,Business Closure,Development Projects,Inactive
CONT-000017,OPP-000182,ACC-000033,2025-01-07 13:43:46,2026-11-06 13:43:46,258853.05,Quarterly,Auto-Renew,,Support & Maintenance,Active
CONT-000018,OPP-000188,ACC-000054,2024-12-02 13:43:46,2026-11-14 13:43:46,411258.47,Annual,Auto-Renew,,Staff Augmentation,Active
CONT-000019,OPP-000195,ACC-000010,2025-01-08 13:43:46,2025-10-30 13:43:46,389982.48,Custom,Renewed,,Product Licensing,Active
CONT-000020,OPP-000206,ACC-000019,2024-01-14 00:00:00,2024-09-10 00:00:00,97063.19,Custom,Non-Renewed,Budget Constraints,Product Licensing,Inactive
CONT-000021,OPP-000212,ACC-000061,2025-02-07 13:43:46,2026-10-17 13:43:46,288466.48,Quarterly,Pending,,Professional Services,Active
CONT-000022,OPP-000223,ACC-000029,2024-10-28 13:43:46,2026-05-18 13:43:46,132176.99,Annual,Auto-Renew,,Managed Services,Active
CONT-000023,OPP-000240,ACC-000012,2023-05-12 00:00:00,2024-05-11 00:00:00,336068.41,Annual,Non-Renewed,Product Issues,Development Projects,Inactive
CONT-000024,OPP-000243,ACC-000048,2025-05-10 13:43:46,2025-08-19 13:43:46,154131.37,Custom,Renewed,,Professional Services,Active
