Opportunity_ID,Account_ID,Product_ID,Product_Usage,Opportunity_Type,Created_Date,Close_Date,Status,Revenue_Amount,Probability
OPP-000001,ACC-000024,PROD-0098,206,Upsell,2022-02-12 23:31:45,,Proposal,18586.02,0.55
OPP-000002,ACC-000015,PROD-0049,873,Cross-sell,2025-03-09 03:09:50,2025-08-18 18:38:15,Closed Lost,42567.33,0
OPP-000003,ACC-000021,PROD-0052,288,Cross-sell,2024-12-23 14:32:20,,Open,92423.42,0.55
OPP-000004,ACC-000056,PROD-0017,401,Expansion,2022-09-18 11:24:23,,Negotiation,71162.44,0.7
OPP-000005,ACC-000030,PROD-0023,205,Renewal,2021-07-19 21:44:35,,Negotiation,9923.04,0.8
OPP-000006,ACC-000014,PROD-0026,806,Cross-sell,2022-12-13 19:48:47,,Open,2230.65,0.66
OPP-000007,ACC-000028,PROD-0039,141,Cross-sell,2024-06-10 08:17:22,2024-11-14 12:30:34,Closed Won,39519.85,1
OPP-000008,ACC-000030,PROD-0023,476,Renewal,2021-12-18 10:28:23,,Open,52812.53,0.39
OPP-000009,ACC-000055,PROD-0089,214,Upsell,2022-10-15 13:21:15,,Negotiation,29939.43,0.73
OPP-000010,ACC-000005,PROD-0061,336,Cross-sell,2023-05-28 17:14:25,,Negotiation,51648.11,0.75
OPP-000011,ACC-000040,PROD-0073,194,New Business,2023-06-30 12:58:36,2023-07-05 22:59:26,Closed Won,70035.99,1
OPP-000012,ACC-000018,PROD-0099,274,Renewal,2022-11-26 02:59:23,2023-01-06 17:02:41,Closed Lost,17653.61,0
OPP-000013,ACC-000053,PROD-0050,587,Renewal,2024-08-21 03:24:45,,Negotiation,57456.99,0.83
OPP-000014,ACC-000024,PROD-0096,231,Expansion,2023-10-12 08:01:34,,Open,42384.14,0.44
OPP-000015,ACC-000028,PROD-0094,724,Cross-sell,2022-05-23 17:00:47,,Negotiation,65630.86,0.75
OPP-000016,ACC-000022,PROD-0081,907,Renewal,2022-05-11 03:59:38,,Negotiation,74449.93,0.67
OPP-000017,ACC-000050,PROD-0076,618,Cross-sell,2023-10-25 09:54:00,2024-02-05 00:29:44,Closed Lost,58573.55,0
OPP-000018,ACC-000020,PROD-0063,867,Renewal,2024-09-06 04:59:47,,Qualified,73966.88,0.49
OPP-000019,ACC-000018,PROD-0028,469,Renewal,2022-08-04 09:11:53,2022-11-19 22:47:30,Closed Lost,73046.4,0
OPP-000020,ACC-000023,PROD-0054,263,Renewal,2023-07-18 22:15:20,,Open,14005.99,0.63
OPP-000021,ACC-000058,PROD-0009,377,New Business,2024-02-21 10:25:04,,Qualified,88344.54,0.36
OPP-000022,ACC-000003,PROD-0008,153,Renewal,2024-08-05 11:15:08,,Open,92525.78,0.2
OPP-000023,ACC-000022,PROD-0006,715,Upsell,2022-02-03 03:32:33,,Open,39120.82,0.27
OPP-000024,ACC-000003,PROD-0044,922,Expansion,2024-06-12 07:51:33,2024-10-27 00:17:40,Closed Lost,70882.9,0
OPP-000025,ACC-000002,PROD-0051,495,Renewal,2024-05-01 16:17:21,,Qualified,66921.32,0.41
OPP-000026,ACC-000008,PROD-0071,956,Expansion,2021-07-27 03:18:08,2021-10-09 06:24:59,Closed Won,73754.66,1
OPP-000027,ACC-000018,PROD-0100,84,Cross-sell,2023-12-21 05:43:42,,Proposal,77338.64,0.49
OPP-000028,ACC-000049,PROD-0043,693,Cross-sell,2025-05-06 01:21:32,,Proposal,39333.87,0.47
OPP-000029,ACC-000011,PROD-0090,528,Upsell,2024-04-24 07:51:30,,Qualified,86977.34,0.32
OPP-000030,ACC-000021,PROD-0082,331,New Business,2023-09-24 22:13:21,2023-10-04 08:51:48,Closed Lost,57529.17,0
OPP-000031,ACC-000055,PROD-0072,433,Cross-sell,2022-07-30 09:49:54,,Qualified,54961.44,0.21
OPP-000032,ACC-000012,PROD-0008,781,Renewal,2022-03-20 03:42:20,2022-04-01 19:50:19,Closed Lost,76537.6,0
OPP-000033,ACC-000013,PROD-0075,596,Upsell,2022-09-12 18:31:16,2022-10-22 17:49:57,Closed Won,84091.24,1
OPP-000034,ACC-000032,PROD-0016,576,Renewal,2024-11-05 12:48:30,2025-03-21 18:51:28,Closed Won,70540.36,1
OPP-000035,ACC-000006,PROD-0059,756,Upsell,2024-02-13 13:07:32,2024-04-07 05:23:19,Closed Lost,42865.98,0
OPP-000036,ACC-000011,PROD-0004,212,Upsell,2021-09-19 00:53:25,,Qualified,54020.66,0.47
OPP-000037,ACC-000016,PROD-0042,310,Upsell,2023-06-20 20:43:28,,Qualified,69540.57,0.37
OPP-000038,ACC-000029,PROD-0004,390,Expansion,2024-04-10 16:52:17,,Proposal,7287.43,0.46
OPP-000039,ACC-000039,PROD-0068,167,Expansion,2021-07-11 12:26:58,,Negotiation,56579.71,0.67
OPP-000040,ACC-000004,PROD-0090,151,Cross-sell,2021-10-10 00:40:28,,Qualified,47124.93,0.35
OPP-000041,ACC-000025,PROD-0082,386,New Business,2023-02-22 07:28:12,,Qualified,66669.04,0.39
OPP-000042,ACC-000049,PROD-0098,925,Cross-sell,2024-04-19 10:12:44,2024-06-12 02:36:36,Closed Lost,38581.75,0
OPP-000043,ACC-000010,PROD-0084,524,New Business,2024-04-23 11:28:32,2024-10-06 22:28:11,Closed Lost,1145.8,0
OPP-000044,ACC-000039,PROD-0020,423,New Business,2025-05-16 15:56:37,,Qualified,5210.6,0.35
OPP-000045,ACC-000034,PROD-0082,920,Renewal,2024-04-19 00:03:16,2024-06-28 22:47:50,Closed Lost,16774.07,0
OPP-000046,ACC-000042,PROD-0099,304,Upsell,2025-03-02 04:30:27,,Negotiation,33298.65,0.64
OPP-000047,ACC-000033,PROD-0085,594,Upsell,2021-12-13 04:12:47,,Negotiation,19201.22,0.73
OPP-000048,ACC-000001,PROD-0055,960,Cross-sell,2021-07-28 05:01:13,,Proposal,72204,0.42
OPP-000049,ACC-000026,PROD-0051,136,Upsell,2022-09-25 22:45:15,2023-03-14 09:10:47,Closed Lost,4276.27,0
OPP-000050,ACC-000041,PROD-0097,824,Renewal,2025-03-31 21:21:15,2025-08-05 23:49:46,Closed Won,20267.22,1
OPP-000051,ACC-000039,PROD-0049,646,Expansion,2023-02-19 00:21:33,,Qualified,64550.58,0.45
OPP-000052,ACC-000001,PROD-0011,183,New Business,2022-06-22 16:19:10,2022-09-05 14:30:56,Closed Lost,81240.14,0
OPP-000053,ACC-000014,PROD-0053,611,Upsell,2023-08-27 13:29:11,2024-01-13 08:52:33,Closed Lost,9912.45,0
OPP-000054,ACC-000012,PROD-0071,932,Upsell,2021-11-30 07:13:27,,Negotiation,45683.57,0.78
OPP-000055,ACC-000042,PROD-0098,460,Expansion,2025-05-02 16:31:18,2025-07-03 22:39:10,Closed Lost,91910.79,0
OPP-000056,ACC-000045,PROD-0040,44,New Business,2023-07-21 11:14:36,,Negotiation,23008.28,0.81
OPP-000057,ACC-000053,PROD-0057,809,New Business,2025-03-06 01:21:32,,Negotiation,68287.3,0.68
OPP-000058,ACC-000057,PROD-0066,560,Cross-sell,2024-01-12 03:28:09,2024-04-25 08:43:16,Closed Won,35875.54,1
OPP-000059,ACC-000018,PROD-0092,410,Expansion,2021-11-12 07:22:38,,Open,99907.21,0.68
OPP-000060,ACC-000030,PROD-0078,795,Upsell,2022-04-14 03:52:22,,Proposal,41367.51,0.34
OPP-000061,ACC-000032,PROD-0086,927,Expansion,2022-05-03 12:20:01,2022-08-09 17:32:07,Closed Won,75100.98,1
