Pipeline_ID,Account_ID,Stage,Stage_Entry_Date,Expected_Close_Date,Deal_Size,Probability
PIPE-000001,ACC-000049,Proposal,2024-02-06 01:05:16,2024-05-12 17:26:19,192048.09,0.75
PIPE-000002,ACC-000051,Development,2021-12-06 22:10:09,2022-01-19 04:33:46,428955.23,0
PIPE-000003,ACC-000017,Negotiation,2021-10-11 19:10:14,2021-10-30 17:40:31,216204.28,0.88
PIPE-000004,ACC-000049,Development,2024-05-20 21:10:06,2024-07-24 11:13:42,413634.22,0
PIPE-000005,ACC-000008,Negotiation,2024-08-26 09:45:18,2024-12-05 10:21:02,191066.07,0.84
PIPE-000006,ACC-000042,Qualification,2024-12-13 00:10:06,2025-01-15 17:34:02,483410.42,0.23
PIPE-000007,ACC-000062,Development,2022-11-19 16:50:11,2022-11-30 09:17:45,91521.97,0
PIPE-000008,ACC-000043,Negotiation,2023-10-13 12:49:30,2023-12-10 03:41:11,472274.78,0.92
PIPE-000009,ACC-000057,Closed Won,2024-11-20 18:11:46,2025-01-02 02:11:36,167946.34,1
PIPE-000010,ACC-000033,Negotiation,2022-09-04 10:40:19,2023-01-12 15:10:19,365268.39,0.92
PIPE-000011,ACC-000060,Prospecting,2022-04-10 08:30:12,2022-04-29 12:33:56,438951.15,0.06
PIPE-000012,ACC-000056,Negotiation,2025-02-26 04:28:23,2025-07-19 14:10:43,183149.44,0.82
PIPE-000013,ACC-000057,Closed Won,2021-12-27 18:22:40,2022-01-28 20:27:12,192621.6,1
PIPE-000014,ACC-000003,Development,2021-11-22 17:49:42,2022-04-07 04:55:03,401846.49,0
PIPE-000015,ACC-000040,Development,2023-10-25 05:23:42,2024-04-10 12:29:37,393690.3,0
PIPE-000016,ACC-000011,Needs Analysis,2024-08-07 21:07:39,2024-09-13 09:51:33,290302.87,0.57
PIPE-000017,ACC-000061,Needs Analysis,2023-10-12 01:49:23,2024-01-23 00:45:01,470694.72,0.47
PIPE-000018,ACC-000053,Negotiation,2024-09-02 05:15:40,2025-02-02 09:40:37,194341.6,0.93
PIPE-000019,ACC-000049,Closed Won,2022-03-17 02:44:30,2022-07-10 03:25:19,478018.36,1
PIPE-000020,ACC-000053,Negotiation,2021-11-22 09:05:23,2022-01-12 17:45:40,85377.58,0.93
PIPE-000021,ACC-000037,Prospecting,2022-12-23 21:13:45,2023-02-23 05:01:08,85067.55,0.11
PIPE-000022,ACC-000003,Closed Lost,2025-03-27 03:38:27,2025-09-04 23:32:09,288863.49,0
PIPE-000023,ACC-000022,Negotiation,2023-06-25 20:42:12,2023-07-05 08:55:12,172048.97,0.87
PIPE-000024,ACC-000032,Negotiation,2024-03-26 16:31:02,2024-08-03 00:48:38,463353.03,0.86
PIPE-000025,ACC-000037,Prospecting,2022-11-07 19:48:09,2023-05-06 17:21:29,239824.67,0.09
PIPE-000026,ACC-000007,Closed Won,2022-09-10 05:17:04,2023-03-07 13:24:37,246589.4,1
PIPE-000027,ACC-000045,Needs Analysis,2022-07-19 08:30:45,2022-08-29 23:54:09,151312.19,0.46
PIPE-000028,ACC-000056,Needs Analysis,2022-03-31 13:05:09,2022-04-19 16:14:47,288348.94,0.41
PIPE-000029,ACC-000028,Needs Analysis,2022-02-22 13:30:22,2022-04-26 20:00:58,343877.04,0.58
PIPE-000030,ACC-000004,Closed Won,2023-12-31 02:20:06,2024-05-16 11:40:20,62943.88,1
PIPE-000031,ACC-000045,Needs Analysis,2023-01-06 10:15:38,2023-05-14 10:45:54,413667.5,0.57
PIPE-000032,ACC-000016,Proposal,2024-12-09 20:36:18,2025-06-01 05:13:12,291923.18,0.77
PIPE-000033,ACC-000025,Prospecting,2022-09-27 08:51:48,2022-11-04 16:59:12,305140.93,0.07
PIPE-000034,ACC-000031,Closed Won,2022-02-02 01:33:52,2022-07-30 02:41:50,299821.83,1
PIPE-000035,ACC-000041,Prospecting,2024-06-13 23:17:57,2024-08-07 14:09:50,467151.74,0.11
PIPE-000036,ACC-000036,Development,2022-09-25 04:04:37,2023-02-10 16:32:31,40549.28,0
PIPE-000037,ACC-000019,Closed Won,2022-05-28 23:07:20,2022-10-20 14:24:02,443065.75,1
PIPE-000038,ACC-000045,Closed Won,2024-01-31 19:09:27,2024-03-08 10:19:17,407681,1
PIPE-000039,ACC-000013,Closed Lost,2022-03-25 15:24:47,2022-04-07 05:11:14,471514.56,0
PIPE-000040,ACC-000001,Closed Won,2023-06-23 06:37:03,2023-10-02 04:04:46,377027.38,1
PIPE-000041,ACC-000029,Development,2024-04-05 00:14:56,2024-08-08 10:41:01,336491.42,0
PIPE-000042,ACC-000039,Development,2021-12-16 04:33:21,2022-05-24 20:13:22,495948.51,0
PIPE-000043,ACC-000038,Prospecting,2021-08-05 18:33:25,2021-10-09 21:59:27,468036.62,0.08
PIPE-000044,ACC-000056,Closed Lost,2024-07-27 00:57:13,2025-01-17 05:36:40,461707.48,0
PIPE-000045,ACC-000059,Closed Lost,2021-08-13 17:03:22,2022-01-24 13:02:47,281534.96,0
PIPE-000046,ACC-000050,Negotiation,2023-10-28 07:06:44,2024-02-19 15:17:39,291900.84,0.9
PIPE-000047,ACC-000058,Qualification,2023-11-11 06:20:12,2024-03-25 19:18:01,443150.27,0.22
PIPE-000048,ACC-000034,Development,2024-04-22 06:11:59,2024-08-17 04:32:10,376985.5,0
PIPE-000049,ACC-000048,Prospecting,2024-07-06 02:39:54,2024-08-28 12:40:40,50518.78,0.17
PIPE-000050,ACC-000058,Closed Lost,2024-08-07 02:43:05,2024-12-29 00:01:37,37784.01,0
PIPE-000051,ACC-000039,Needs Analysis,2021-09-18 08:00:52,2022-02-10 20:15:33,355666.61,0.53
PIPE-000052,ACC-000004,Negotiation,2023-10-16 08:40:25,2024-02-27 22:38:31,153206.37,0.8
PIPE-000053,ACC-000002,Development,2024-08-20 04:03:56,2024-09-06 05:07:20,30064.21,0
PIPE-000054,ACC-000029,Proposal,2023-03-20 05:30:56,2023-07-21 04:19:33,420929.59,0.64
PIPE-000055,ACC-000049,Qualification,2023-06-15 04:53:25,2023-07-17 09:36:34,177047.43,0.34
PIPE-000056,ACC-000003,Closed Lost,2022-07-12 17:15:51,2022-12-09 08:21:08,329553.71,0
PIPE-000057,ACC-000015,Prospecting,2022-05-26 20:46:48,2022-08-13 21:36:13,40641.31,0.11
PIPE-000058,ACC-000045,Negotiation,2023-12-24 02:40:29,2024-02-10 14:20:02,480096.45,0.89
PIPE-000059,ACC-000028,Negotiation,2023-01-27 18:32:30,2023-02-17 03:53:44,23473.68,0.84
PIPE-000060,ACC-000031,Prospecting,2024-08-17 17:21:08,2024-08-27 05:16:44,313840.29,0.17
PIPE-000061,ACC-000050,Qualification,2023-06-19 10:59:22,2023-08-01 14:16:02,83363.82,0.35
PIPE-000062,ACC-000059,Closed Won,2023-09-03 11:48:24,2023-11-16 02:49:30,438463.61,1
PIPE-000063,ACC-000031,Development,2021-10-04 08:10:27,2021-12-05 23:02:52,244756.23,0
