0,1,2,3,4
OPP-000007,Cross-sell,Closed Won,39519.8515625,Auto-Renew
OPP-000011,New Business,Closed Won,70035.9921875,Non-Renewed
OPP-000026,Expansion,Closed Won,73754.65625,Non-Renewed
OPP-000033,Upsell,Closed Won,84091.2421875,Non-Renewed
OPP-000034,Renewal,Closed Won,70540.359375,Pending
OPP-000050,Renewal,Closed Won,20267.220703125,Non-Renewed
OPP-000058,Cross-sell,Closed Won,35875.5390625,Renewed
OPP-000061,Expansion,Closed Won,75100.9765625,Pending
OPP-000063,New Business,Closed Won,38318.578125,Non-Renewed
OPP-000067,Upsell,Closed Won,53260.140625,Auto-Renew
OPP-000117,New Business,Closed Won,54634.3203125,Auto-Renew
OPP-000119,Cross-sell,Closed Won,7717.2998046875,Non-Renewed
OPP-000126,Expansion,Closed Won,99388.2109375,Non-Renewed
OPP-000137,Expansion,Closed Won,49783.55078125,Pending
OPP-000157,Cross-sell,Closed Won,85775.2890625,Non-Renewed
OPP-000178,Expansion,Closed Won,65023.578125,Non-Renewed
OPP-000182,Renewal,Closed Won,82509.5390625,Auto-Renew
OPP-000188,Renewal,Closed Won,51904.6484375,Auto-Renew
OPP-000195,Renewal,Closed Won,55774.6484375,Renewed
OPP-000206,Renewal,Closed Won,72837.2890625,Non-Renewed
OPP-000212,New Business,Closed Won,29872.060546875,Pending
OPP-000223,Renewal,Closed Won,49333.98828125,Auto-Renew
OPP-000240,Cross-sell,Closed Won,41020.19140625,Non-Renewed
OPP-000243,Cross-sell,Closed Won,10449.400390625,Renewed
OPP-000244,Expansion,Closed Won,28509.66015625,Non-Renewed
OPP-000246,New Business,Closed Won,53884.3203125,Auto-Renew
OPP-000257,Renewal,Closed Won,49891.55859375,Non-Renewed
OPP-000262,Renewal,Closed Won,9750.0595703125,Pending
OPP-000263,Cross-sell,Closed Won,94355.5,Renewed
OPP-000265,Upsell,Closed Won,77053.15625,Non-Renewed
OPP-000270,New Business,Closed Won,22846.689453125,Renewed
OPP-000272,Expansion,Closed Won,23930.759765625,Pending
OPP-000273,New Business,Closed Won,53814.4296875,Non-Renewed
OPP-000279,Cross-sell,Closed Won,43121.23828125,Pending
OPP-000280,Upsell,Closed Won,38833.6015625,Non-Renewed
OPP-000281,Expansion,Closed Won,78486.3984375,Pending
OPP-000286,Expansion,Closed Won,64500.12890625,Pending
OPP-000316,Upsell,Closed Won,85039.0703125,Auto-Renew
OPP-000324,Upsell,Closed Won,14744.6201171875,Non-Renewed
