0,1,2,3,4,5,6,7,8
OPP-000001,ACC-000024,PROD-0098,Upsell,2022-02-12 23:31:45,,Proposal,18586.01953125,0.550000011920929
OPP-000003,ACC-000021,PROD-0052,Cross-sell,2024-12-23 14:32:20,,Open,92423.421875,0.550000011920929
OPP-000004,ACC-000056,PROD-0017,Expansion,2022-09-18 11:24:23,,Negotiation,71162.4375,0.699999988079071
OPP-000005,ACC-000030,PROD-0023,Renewal,2021-07-19 21:44:35,,Negotiation,9923.0400390625,0.800000011920929
OPP-000006,ACC-000014,PROD-0026,Cross-sell,2022-12-13 19:48:47,,Open,2230.64990234375,0.6600000262260437
OPP-000008,ACC-000030,PROD-0023,Renewal,2021-12-18 10:28:23,,Open,52812.53125,0.38999998569488525
OPP-000009,ACC-000055,PROD-0089,Upsell,2022-10-15 13:21:15,,Negotiation,29939.4296875,0.7300000190734863
OPP-000010,ACC-000005,PROD-0061,Cross-sell,2023-05-28 17:14:25,,Negotiation,51648.109375,0.75
OPP-000013,ACC-000053,PROD-0050,Renewal,2024-08-21 03:24:45,,Negotiation,57456.98828125,0.8299999833106995
OPP-000014,ACC-000024,PROD-0096,Expansion,2023-10-12 08:01:34,,Open,42384.140625,0.4399999976158142
OPP-000015,ACC-000028,PROD-0094,Cross-sell,2022-05-23 17:00:47,,Negotiation,65630.859375,0.75
OPP-000016,ACC-000022,PROD-0081,Renewal,2022-05-11 03:59:38,,Negotiation,74449.9296875,0.6700000166893005
OPP-000018,ACC-000020,PROD-0063,Renewal,2024-09-06 04:59:47,,Qualified,73966.8828125,0.49000000953674316
OPP-000020,ACC-000023,PROD-0054,Renewal,2023-07-18 22:15:20,,Open,14005.990234375,0.6299999952316284
OPP-000021,ACC-000058,PROD-0009,New Business,2024-02-21 10:25:04,,Qualified,88344.5390625,0.36000001430511475
OPP-000022,ACC-000003,PROD-0008,Renewal,2024-08-05 11:15:08,,Open,92525.78125,0.20000000298023224
OPP-000023,ACC-000022,PROD-0006,Upsell,2022-02-03 03:32:33,,Open,39120.8203125,0.27000001072883606
OPP-000025,ACC-000002,PROD-0051,Renewal,2024-05-01 16:17:21,,Qualified,66921.3203125,0.4099999964237213
OPP-000027,ACC-000018,PROD-0100,Cross-sell,2023-12-21 05:43:42,,Proposal,77338.640625,0.49000000953674316
OPP-000028,ACC-000049,PROD-0043,Cross-sell,2025-05-06 01:21:32,,Proposal,39333.87109375,0.4699999988079071
OPP-000029,ACC-000011,PROD-0090,Upsell,2024-04-24 07:51:30,,Qualified,86977.34375,0.3199999928474426
OPP-000031,ACC-000055,PROD-0072,Cross-sell,2022-07-30 09:49:54,,Qualified,54961.44140625,0.20999999344348907
OPP-000036,ACC-000011,PROD-0004,Upsell,2021-09-19 00:53:25,,Qualified,54020.66015625,0.4699999988079071
OPP-000037,ACC-000016,PROD-0042,Upsell,2023-06-20 20:43:28,,Qualified,69540.5703125,0.3700000047683716
OPP-000038,ACC-000029,PROD-0004,Expansion,2024-04-10 16:52:17,,Proposal,7287.43017578125,0.46000000834465027
OPP-000039,ACC-000039,PROD-0068,Expansion,2021-07-11 12:26:58,,Negotiation,56579.7109375,0.6700000166893005
OPP-000040,ACC-000004,PROD-0090,Cross-sell,2021-10-10 00:40:28,,Qualified,47124.9296875,0.3499999940395355
OPP-000041,ACC-000025,PROD-0082,New Business,2023-02-22 07:28:12,,Qualified,66669.0390625,0.38999998569488525
OPP-000044,ACC-000039,PROD-0020,New Business,2025-05-16 15:56:37,,Qualified,5210.60009765625,0.3499999940395355
OPP-000046,ACC-000042,PROD-0099,Upsell,2025-03-02 04:30:27,,Negotiation,33298.6484375,0.6399999856948853
OPP-000047,ACC-000033,PROD-0085,Upsell,2021-12-13 04:12:47,,Negotiation,19201.220703125,0.7300000190734863
OPP-000048,ACC-000001,PROD-0055,Cross-sell,2021-07-28 05:01:13,,Proposal,72204.0,0.41999998688697815
OPP-000051,ACC-000039,PROD-0049,Expansion,2023-02-19 00:21:33,,Qualified,64550.578125,0.44999998807907104
OPP-000054,ACC-000012,PROD-0071,Upsell,2021-11-30 07:13:27,,Negotiation,45683.5703125,0.7799999713897705
OPP-000056,ACC-000045,PROD-0040,New Business,2023-07-21 11:14:36,,Negotiation,23008.279296875,0.8100000023841858
OPP-000057,ACC-000053,PROD-0057,New Business,2025-03-06 01:21:32,,Negotiation,68287.296875,0.6800000071525574
OPP-000059,ACC-000018,PROD-0092,Expansion,2021-11-12 07:22:38,,Open,99907.2109375,0.6800000071525574
OPP-000060,ACC-000030,PROD-0078,Upsell,2022-04-14 03:52:22,,Proposal,41367.51171875,0.3400000035762787
OPP-000062,ACC-000062,PROD-0053,Expansion,2023-06-10 00:41:39,,Proposal,2096.8798828125,0.3199999928474426
OPP-000064,ACC-000010,PROD-0076,Upsell,2021-07-31 22:52:36,,Qualified,79321.4296875,0.30000001192092896
OPP-000065,ACC-000031,PROD-0052,Renewal,2021-08-29 07:48:21,,Proposal,71301.4375,0.36000001430511475
OPP-000066,ACC-000020,PROD-0016,Upsell,2022-07-17 21:10:34,,Negotiation,18093.990234375,0.7799999713897705
OPP-000069,ACC-000010,PROD-0079,Cross-sell,2023-07-29 15:44:57,,Qualified,95701.8203125,0.27000001072883606
OPP-000070,ACC-000019,PROD-0094,Cross-sell,2023-03-01 16:44:13,,Proposal,22554.990234375,0.36000001430511475
OPP-000071,ACC-000010,PROD-0082,Renewal,2024-08-27 22:37:35,,Proposal,14107.1298828125,0.46000000834465027
OPP-000072,ACC-000025,PROD-0039,Expansion,2022-02-27 11:18:32,,Qualified,30388.30078125,0.4099999964237213
OPP-000073,ACC-000034,PROD-0024,Expansion,2021-07-27 02:41:42,,Negotiation,4067.0400390625,0.8799999952316284
OPP-000074,ACC-000007,PROD-0080,Upsell,2022-12-19 06:37:14,,Negotiation,90668.65625,0.8899999856948853
OPP-000076,ACC-000041,PROD-0001,Renewal,2023-01-01 15:11:09,,Proposal,41494.96875,0.4300000071525574
OPP-000077,ACC-000049,PROD-0098,New Business,2024-02-24 20:01:44,,Qualified,85107.84375,0.47999998927116394
OPP-000078,ACC-000008,PROD-0091,Expansion,2022-10-11 05:16:01,,Negotiation,96472.1484375,0.8600000143051147
OPP-000079,ACC-000007,PROD-0002,Renewal,2022-06-30 12:04:50,,Open,50090.94140625,0.49000000953674316
OPP-000080,ACC-000015,PROD-0054,Expansion,2023-08-16 05:44:16,,Proposal,96633.8203125,0.4000000059604645
OPP-000081,ACC-000039,PROD-0093,Expansion,2022-08-31 03:12:59,,Proposal,52048.0,0.4399999976158142
OPP-000082,ACC-000052,PROD-0038,New Business,2024-12-10 19:17:19,,Negotiation,84816.2421875,0.75
OPP-000083,ACC-000002,PROD-0057,Renewal,2021-10-02 21:37:04,,Proposal,86734.140625,0.38999998569488525
OPP-000084,ACC-000001,PROD-0089,Renewal,2024-02-25 16:57:33,,Open,32813.921875,0.5699999928474426
OPP-000085,ACC-000059,PROD-0089,Cross-sell,2022-08-02 20:42:42,,Negotiation,48848.80078125,0.7799999713897705
OPP-000086,ACC-000006,PROD-0035,Expansion,2025-03-24 13:11:31,,Open,97188.453125,0.11999999731779099
OPP-000087,ACC-000001,PROD-0045,Cross-sell,2023-02-20 00:29:40,,Proposal,73163.0625,0.4000000059604645
OPP-000088,ACC-000046,PROD-0080,New Business,2025-04-11 18:19:28,,Qualified,25638.759765625,0.20999999344348907
OPP-000089,ACC-000031,PROD-0001,Cross-sell,2024-12-15 09:51:38,,Negotiation,59195.390625,0.699999988079071
OPP-000090,ACC-000020,PROD-0016,Cross-sell,2021-08-13 08:17:49,,Negotiation,99451.640625,0.6399999856948853
OPP-000091,ACC-000006,PROD-0070,Expansion,2023-11-07 15:22:02,,Qualified,59268.0703125,0.47999998927116394
OPP-000092,ACC-000016,PROD-0066,Upsell,2022-09-06 20:06:45,,Proposal,40534.6796875,0.49000000953674316
OPP-000094,ACC-000019,PROD-0089,Upsell,2022-12-11 12:26:24,,Qualified,21458.009765625,0.41999998688697815
OPP-000095,ACC-000004,PROD-0025,New Business,2025-04-22 06:50:56,,Open,27101.060546875,0.10999999940395355
