0,1,2,3,4,5,6,7,8,9
OPP-000002,ACC-000015,PROD-0049,873,Cross-sell,2025-03-09 03:09:50,2025-08-18 18:38:15,Closed Lost,42567.328125,0.0
OPP-000007,ACC-000028,PROD-0039,141,Cross-sell,2024-06-10 08:17:22,2024-11-14 12:30:34,Closed Won,39519.8515625,1.0
OPP-000011,ACC-000040,PROD-0073,194,New Business,2023-06-30 12:58:36,2023-07-05 22:59:26,Closed Won,70035.9921875,1.0
OPP-000012,ACC-000018,PROD-0099,274,Renewal,2022-11-26 02:59:23,2023-01-06 17:02:41,Closed Lost,17653.609375,0.0
OPP-000017,ACC-000050,PROD-0076,618,Cross-sell,2023-10-25 09:54:00,2024-02-05 00:29:44,Closed Lost,58573.55078125,0.0
OPP-000019,ACC-000018,PROD-0028,469,Renewal,2022-08-04 09:11:53,2022-11-19 22:47:30,Closed Lost,73046.3984375,0.0
OPP-000024,ACC-000003,PROD-0044,922,Expansion,2024-06-12 07:51:33,2024-10-27 00:17:40,Closed Lost,70882.8984375,0.0
OPP-000026,ACC-000008,PROD-0071,956,Expansion,2021-07-27 03:18:08,2021-10-09 06:24:59,Closed Won,73754.65625,1.0
OPP-000030,ACC-000021,PROD-0082,331,New Business,2023-09-24 22:13:21,2023-10-04 08:51:48,Closed Lost,57529.171875,0.0
OPP-000032,ACC-000012,PROD-0008,781,Renewal,2022-03-20 03:42:20,2022-04-01 19:50:19,Closed Lost,76537.6015625,0.0
OPP-000033,ACC-000013,PROD-0075,596,Upsell,2022-09-12 18:31:16,2022-10-22 17:49:57,Closed Won,84091.2421875,1.0
OPP-000034,ACC-000032,PROD-0016,576,Renewal,2024-11-05 12:48:30,2025-03-21 18:51:28,Closed Won,70540.359375,1.0
OPP-000035,ACC-000006,PROD-0059,756,Upsell,2024-02-13 13:07:32,2024-04-07 05:23:19,Closed Lost,42865.98046875,0.0
OPP-000042,ACC-000049,PROD-0098,925,Cross-sell,2024-04-19 10:12:44,2024-06-12 02:36:36,Closed Lost,38581.75,0.0
OPP-000043,ACC-000010,PROD-0084,524,New Business,2024-04-23 11:28:32,2024-10-06 22:28:11,Closed Lost,1145.800048828125,0.0
OPP-000045,ACC-000034,PROD-0082,920,Renewal,2024-04-19 00:03:16,2024-06-28 22:47:50,Closed Lost,16774.0703125,0.0
OPP-000049,ACC-000026,PROD-0051,136,Upsell,2022-09-25 22:45:15,2023-03-14 09:10:47,Closed Lost,4276.27001953125,0.0
OPP-000050,ACC-000041,PROD-0097,824,Renewal,2025-03-31 21:21:15,2025-08-05 23:49:46,Closed Won,20267.220703125,1.0
