0,1,2
Active Customer,Auto-Renew,250666.5858515625
Active Customer,Non-Renewed,253225.11292613635
Active Customer,Pending,257647.03843470983
Active Customer,Renewed,251365.62936674288
Brand Ambassador,Auto-Renew,243699.7764857701
Brand Ambassador,Non-Renewed,244816.11608014788
Brand Ambassador,Pending,236727.45600585936
Brand Ambassador,Renewed,240525.55121970663
Disengaged Customer,Auto-Renew,267323.5796169705
Disengaged Customer,Non-Renewed,257243.30163850397
Disengaged Customer,Pending,251213.71620396205
Disengaged Customer,Renewed,245907.32969447545
New Contact,Auto-Renew,252061.8224206349
New Contact,Non-Renewed,248134.50352387765
New Contact,Pending,264182.11333007814
New Contact,Renewed,258878.3802802507
Potential Customer,Auto-Renew,240306.5676599451
Potential Customer,Non-Renewed,252141.82607444533
Potential Customer,Pending,284931.44855057565
Potential Customer,Renewed,245479.2503797743
Trusted Customer,Auto-Renew,242950.64224941278
Trusted Customer,Non-Renewed,257574.35656489158
Trusted Customer,Pending,263781.355372948
Trusted Customer,Renewed,235755.8695591518
