Opportunity_ID,Account_ID,Product_ID,Product_Usage,Opportunity_Type,Created_Date,Close_Date,Status,Revenue_Amount,Probability
OPP-000011,ACC-000040,PROD-0073,194,New Business,2023-06-30 12:58:36,2023-07-05 22:59:26,Closed Won,70035.9921875,1.0
OPP-000012,ACC-000018,PROD-0099,274,Renewal,2022-11-26 02:59:23,2023-01-06 17:02:41,Closed Lost,17653.609375,0.0
OPP-000030,ACC-000021,PROD-0082,331,New Business,2023-09-24 22:13:21,2023-10-04 08:51:48,Closed Lost,57529.171875,0.0
OPP-000049,ACC-000026,PROD-0051,136,Upsell,2022-09-25 22:45:15,2023-03-14 09:10:47,Closed Lost,4276.27001953125,0.0
OPP-000096,ACC-000054,PROD-0056,500,Upsell,2023-02-28 20:06:41,2023-07-07 09:38:07,Closed Lost,72263.59375,0.0
OPP-000201,ACC-000046,PROD-0036,270,New Business,2023-05-11 23:28:05,2023-10-28 08:34:55,Closed Lost,37396.80078125,0.0
OPP-000206,ACC-000019,PROD-0004,937,Renewal,2023-06-09 08:14:24,2023-11-29 16:41:41,Closed Won,72837.2890625,1.0
OPP-000236,ACC-000020,PROD-0027,597,New Business,2023-09-12 08:21:55,2023-12-26 19:01:01,Closed Lost,10117.8203125,0.0
OPP-000237,ACC-000041,PROD-0014,968,Renewal,2023-03-05 03:10:59,2023-07-26 21:19:26,Closed Lost,80044.75,0.0
OPP-000240,ACC-000012,PROD-0091,761,Cross-sell,2023-02-20 08:58:03,2023-06-01 14:17:31,Closed Won,41020.19140625,1.0
OPP-000245,ACC-000012,PROD-0086,181,New Business,2023-03-08 21:43:53,2023-08-28 15:19:22,Closed Lost,38400.2890625,0.0
OPP-000246,ACC-000003,PROD-0010,117,New Business,2022-10-14 16:19:49,2023-03-14 21:55:35,Closed Won,53884.3203125,1.0
OPP-000249,ACC-000029,PROD-0055,813,Expansion,2023-06-15 05:59:52,2023-07-18 13:52:53,Closed Lost,27107.1796875,0.0
OPP-000263,ACC-000004,PROD-0061,708,Cross-sell,2023-08-15 07:36:15,2023-09-07 07:01:19,Closed Won,94355.5,1.0
OPP-000271,ACC-000051,PROD-0099,585,Cross-sell,2023-04-02 00:20:14,2023-06-04 19:46:27,Closed Lost,40733.859375,0.0
OPP-000272,ACC-000049,PROD-0097,84,Expansion,2023-05-29 23:58:19,2023-06-04 20:04:14,Closed Won,23930.759765625,1.0
OPP-000279,ACC-000004,PROD-0027,327,Cross-sell,2023-06-04 21:32:51,2023-06-23 09:48:54,Closed Won,43121.23828125,1.0
OPP-000294,ACC-000017,PROD-0049,895,Renewal,2023-02-15 05:32:38,2023-07-07 09:01:17,Closed Lost,3232.97998046875,0.0
OPP-000296,ACC-000033,PROD-0057,797,Cross-sell,2023-09-01 10:02:12,2023-12-30 06:30:05,Closed Lost,1339.6099853515625,0.0
OPP-000316,ACC-000026,PROD-0079,629,Upsell,2022-10-22 09:24:27,2023-03-14 04:12:28,Closed Won,85039.0703125,1.0
OPP-000318,ACC-000020,PROD-0066,5,New Business,2022-09-20 04:14:51,2023-01-20 19:43:45,Closed Lost,8921.6298828125,0.0
OPP-000326,ACC-000055,PROD-0001,406,Expansion,2023-06-11 01:09:59,2023-09-16 16:16:44,Closed Won,82121.2578125,1.0
OPP-000328,ACC-000043,PROD-0075,50,Upsell,2023-08-12 04:27:32,2023-11-26 17:21:28,Closed Lost,24696.58984375,0.0
OPP-000336,ACC-000042,PROD-0098,429,Expansion,2023-03-27 17:16:48,2023-06-22 12:34:06,Closed Lost,3623.77001953125,0.0
OPP-000341,ACC-000039,PROD-0040,198,Cross-sell,2022-07-13 17:17:49,2023-01-02 00:29:49,Closed Lost,3862.8798828125,0.0
OPP-000380,ACC-000036,PROD-0063,620,Cross-sell,2023-01-09 02:32:05,2023-01-17 01:33:41,Closed Won,81663.9375,1.0
OPP-000384,ACC-000009,PROD-0093,863,Renewal,2023-01-22 02:59:34,2023-07-16 09:47:04,Closed Lost,76787.046875,0.0
OPP-000394,ACC-000043,PROD-0032,432,Cross-sell,2023-06-29 23:03:11,2023-07-27 02:04:54,Closed Lost,34122.921875,0.0
OPP-000400,ACC-000006,PROD-0064,710,Renewal,2023-09-21 13:57:26,2023-11-02 07:54:27,Closed Won,42904.98046875,1.0
OPP-000419,ACC-000037,PROD-0090,705,Renewal,2022-12-30 06:20:15,2023-01-25 10:50:40,Closed Won,64714.55078125,1.0
OPP-000443,ACC-000018,PROD-0052,475,Cross-sell,2022-11-29 02:24:22,2023-02-05 23:53:36,Closed Won,6062.52978515625,1.0
OPP-000468,ACC-000062,PROD-0044,829,Renewal,2022-11-24 00:12:53,2023-05-05 22:07:20,Closed Lost,22149.3203125,0.0
OPP-000476,ACC-000023,PROD-0039,641,Upsell,2023-07-16 13:10:59,2023-08-16 17:20:08,Closed Lost,71387.3515625,0.0
OPP-000478,ACC-000018,PROD-0049,62,Upsell,2023-06-14 02:48:36,2023-12-05 08:06:11,Closed Lost,31739.9296875,0.0
OPP-000493,ACC-000012,PROD-0038,524,Cross-sell,2022-10-31 16:31:38,2023-02-17 11:50:25,Closed Won,60495.578125,1.0
OPP-000498,ACC-000015,PROD-0036,66,New Business,2022-11-25 21:07:13,2023-05-01 03:13:29,Closed Lost,5938.080078125,0.0
OPP-000502,ACC-000004,PROD-0041,166,Cross-sell,2022-12-29 20:43:34,2023-01-12 17:18:04,Closed Won,49542.921875,1.0
