Pipeline_ID,Account_ID,Stage,Stage_Entry_Date,Expected_Close_Date,Deal_Size,Probability
PIPE-000073,ACC-000020,Closed Won,2025-04-10 09:43:59,2025-08-08 21:31:56,491420.78125,1.0
PIPE-000112,ACC-000002,Qualification,2025-06-05 23:02:43,2025-08-05 16:34:13,285270.65625,0.27000001072883606
PIPE-000224,ACC-000057,Closed Won,2025-05-05 14:44:17,2025-08-14 01:53:22,426478.4375,1.0
PIPE-000259,ACC-000039,Proposal,2025-03-14 03:19:29,2025-08-15 11:58:24,184750.265625,0.6800000071525574
PIPE-000272,ACC-000043,Qualification,2025-06-18 20:11:59,2025-08-07 05:12:37,405959.65625,0.3199999928474426
PIPE-000309,ACC-000004,Qualification,2025-06-14 04:24:23,2025-08-03 14:12:43,177343.65625,0.23999999463558197
PIPE-000375,ACC-000019,Development,2025-03-17 06:48:07,2025-08-28 17:35:44,191522.453125,0.0
PIPE-000382,ACC-000023,Needs Analysis,2025-06-06 23:52:04,2025-08-20 21:31:12,451185.5625,0.4699999988079071
PIPE-000445,ACC-000002,Negotiation,2025-04-26 18:39:49,2025-08-27 20:59:19,484588.875,0.8500000238418579
PIPE-000565,ACC-000047,Closed Lost,2025-03-24 18:10:40,2025-08-21 19:30:20,462074.03125,0.0
PIPE-000635,ACC-000006,Closed Won,2025-05-13 12:37:41,2025-08-19 18:42:35,448023.9375,1.0
PIPE-000665,ACC-000051,Needs Analysis,2025-05-16 08:01:56,2025-08-19 13:31:20,498298.03125,0.4399999976158142
PIPE-000700,ACC-000009,Prospecting,2025-04-17 10:05:55,2025-08-21 21:20:58,37681.83984375,0.1599999964237213
PIPE-000709,ACC-000051,Qualification,2025-04-19 08:37:13,2025-08-01 14:39:30,177678.296875,0.4000000059604645
PIPE-000818,ACC-000031,Closed Won,2025-03-26 22:17:06,2025-08-01 13:19:08,24593.55078125,1.0
PIPE-000832,ACC-000004,Negotiation,2025-04-03 15:14:19,2025-08-20 16:20:38,467587.75,0.8500000238418579
PIPE-000856,ACC-000034,Prospecting,2025-02-23 06:34:48,2025-08-05 22:57:42,119139.28125,0.09000000357627869
PIPE-000865,ACC-000038,Qualification,2025-05-16 21:27:00,2025-08-14 00:35:03,482097.0,0.3100000023841858
PIPE-000968,ACC-000024,Prospecting,2025-05-08 15:51:34,2025-08-07 21:37:27,244849.28125,0.1599999964237213
PIPE-001417,ACC-000056,Proposal,2025-03-21 12:48:26,2025-08-04 08:14:45,345670.21875,0.6200000047683716
PIPE-001464,ACC-000016,Closed Won,2025-02-11 20:16:58,2025-08-09 20:24:30,255600.734375,1.0
PIPE-001473,ACC-000051,Needs Analysis,2025-03-23 04:21:44,2025-08-29 21:47:03,39250.58984375,0.5
PIPE-001506,ACC-000057,Prospecting,2025-03-04 06:50:40,2025-08-27 02:30:05,385696.75,0.18000000715255737
PIPE-001513,ACC-000016,Needs Analysis,2025-03-10 00:03:35,2025-08-08 01:21:25,456507.53125,0.5699999928474426
PIPE-001595,ACC-000040,Development,2025-05-11 11:36:44,2025-08-24 15:00:08,378695.0625,0.0
PIPE-001663,ACC-000032,Closed Won,2025-03-23 01:46:42,2025-08-08 17:36:01,416189.46875,1.0
PIPE-001730,ACC-000024,Closed Lost,2025-05-20 02:27:48,2025-08-22 17:07:19,486960.53125,0.0
PIPE-001857,ACC-000045,Development,2025-04-25 20:57:03,2025-08-05 23:28:56,479476.96875,0.0
PIPE-001893,ACC-000044,Prospecting,2025-05-03 03:35:04,2025-08-26 06:19:49,349418.21875,0.05999999865889549
PIPE-001931,ACC-000043,Needs Analysis,2025-02-27 12:29:40,2025-08-10 12:36:09,244905.28125,0.4699999988079071
PIPE-001961,ACC-000037,Proposal,2025-04-17 01:50:54,2025-08-26 10:35:37,82730.75,0.6399999856948853
PIPE-001980,ACC-000033,Development,2025-04-12 16:14:50,2025-08-13 05:04:36,491156.1875,0.0
