account_id,account_name,customer_lifecycle_stage,account_score,status,average_activity_score
ACC-000003,"Coinbase Global, Inc.",New Contact,17,Inactive,5.6703296703296703
ACC-000007,"First Solar, Inc.",Trusted Customer,7,Inactive,5.1808510638297872
ACC-000008,The Coca-Cola Company,Potential Customer,29,Active,5.7380952380952381
ACC-000009,"Elevance Health, Inc.",Disengaged Customer,8,Inactive,5.5671641791044776
ACC-000010,Dell Technologies Inc.,Active Customer,34,Inactive,5.7010309278350515
ACC-000016,Alphabet Inc.,New Contact,26,Churned,5.4545454545454545
ACC-000019,"Fortinet, Inc.",Potential Customer,41,Pending,5.9506172839506173
ACC-000021,"Cisco Systems, Inc.",Potential Customer,71,Churned,4.9459459459459459
ACC-000024,"Netflix, Inc.",Potential Customer,16,Churned,5.2371134020618557
ACC-000028,"Dominion Energy, Inc.",New Contact,16,Inactive,5.2898550724637681
ACC-000036,CMS Energy Corporation,Potential Customer,17,Inactive,5.2333333333333333
ACC-000038,Snowflake Inc.,Disengaged Customer,16,Churned,5.3709677419354839
ACC-000040,Infosys Limited,Active Customer,40,Inactive,5.5600000000000000
ACC-000048,"Fiserv, Inc.",Trusted Customer,3,Inactive,5.2500000000000000
ACC-000051,International Business Machines Corporation,Brand Ambassador,37,Churned,6.4823529411764706
ACC-000053,Intuit Inc.,New Contact,2,Pending,5.5238095238095238
ACC-000057,"EPAM Systems, Inc.",New Contact,7,Pending,5.8815789473684211
ACC-000058,Duke Energy Corporation,New Contact,5,Churned,5.6883116883116883
ACC-000059,Adobe Inc.,New Contact,4,Pending,5.1904761904761905
ACC-000062,"Workday, Inc.",New Contact,11,Active,5.3673469387755102
