pipeline_id,account_id,stage,stage_entry_date,expected_close_date,deal_size,probability
PIPE-000096,ACC-000047,Negotiation,2025-05-11 12:59:42,2025-10-12 22:48:54,97164.28,0.87
PIPE-000191,ACC-000053,Needs Analysis,2025-06-06 03:45:39,2025-10-05 15:30:10,374569.13,0.49
PIPE-000219,ACC-000036,Prospecting,2025-06-11 08:48:23,2025-10-17 16:38:53,417666.23,0.06
PIPE-000225,ACC-000018,Qualification,2025-06-02 09:42:22,2025-10-07 17:33:27,344409.94,0.23
PIPE-000333,ACC-000041,Prospecting,2025-06-02 01:23:40,2025-10-02 06:22:46,7697.26,0.17
PIPE-000448,ACC-000028,Qualification,2025-06-04 16:05:50,2025-10-26 20:54:15,460404.05,0.28
PIPE-000530,ACC-000059,Qualification,2025-06-02 10:16:02,2025-10-06 13:24:37,250520.07,0.25
PIPE-000711,ACC-000035,Closed Lost,2025-06-26 07:57:42,2025-10-11 07:12:16,191248.17,0
PIPE-000743,ACC-000001,Qualification,2025-05-17 14:02:24,2025-10-12 17:12:20,155909.22,0.22
PIPE-001248,ACC-000039,Negotiation,2025-05-06 18:33:29,2025-10-19 15:23:46,4003.82,0.91
PIPE-001311,ACC-000031,Prospecting,2025-06-03 19:31:32,2025-10-15 12:48:26,254925.52,0.15
PIPE-001422,ACC-000011,Qualification,2025-05-22 19:59:08,2025-10-16 15:56:58,104819.79,0.35
PIPE-001454,ACC-000009,Closed Lost,2025-06-22 15:55:23,2025-10-26 01:52:49,476020.64,0
PIPE-001474,ACC-000047,Needs Analysis,2025-06-02 22:23:08,2025-10-27 17:30:41,110473.19,0.42
PIPE-001495,ACC-000057,Qualification,2025-04-21 06:47:11,2025-10-18 06:28:11,353287.76,0.34
PIPE-001536,ACC-000052,Closed Won,2025-04-29 11:15:19,2025-10-10 17:32:26,240841.76,1
PIPE-001711,ACC-000009,Development,2025-05-31 11:45:47,2025-10-10 17:41:58,248472.27,0
PIPE-001729,ACC-000021,Needs Analysis,2025-06-20 10:06:11,2025-10-02 08:34:23,229752.24,0.49
