opportunity_id,account_id,product_id,product_usage,opportunity_type,created_date,close_date,status,revenue_amount,probability
OPP-000002,ACC-000015,PROD-0049,873,Cross-sell,2025-03-09 03:09:50,2025-08-18 18:38:15,Closed Lost,42567.33,0
OPP-000007,ACC-000028,PROD-0039,141,Cross-sell,2024-06-10 08:17:22,2024-11-14 12:30:34,Closed Won,39519.85,1
OPP-000017,ACC-000050,PROD-0076,618,Cross-sell,2023-10-25 09:54:00,2024-02-05 00:29:44,Closed Lost,58573.55,0
OPP-000024,ACC-000003,PROD-0044,922,Expansion,2024-06-12 07:51:33,2024-10-27 00:17:40,Closed Lost,70882.9,0
OPP-000034,ACC-000032,PROD-0016,576,Renewal,2024-11-05 12:48:30,2025-03-21 18:51:28,Closed Won,70540.36,1
OPP-000035,ACC-000006,PROD-0059,756,Upsell,2024-02-13 13:07:32,2024-04-07 05:23:19,Closed Lost,42865.98,0
OPP-000042,ACC-000049,PROD-0098,925,Cross-sell,2024-04-19 10:12:44,2024-06-12 02:36:36,Closed Lost,38581.75,0
OPP-000043,ACC-000010,PROD-0084,524,New Business,2024-04-23 11:28:32,2024-10-06 22:28:11,Closed Lost,1145.8,0
OPP-000045,ACC-000034,PROD-0082,920,Renewal,2024-04-19 00:03:16,2024-06-28 22:47:50,Closed Lost,16774.07,0
OPP-000050,ACC-000041,PROD-0097,824,Renewal,2025-03-31 21:21:15,2025-08-05 23:49:46,Closed Won,20267.22,1
OPP-000053,ACC-000014,PROD-0053,611,Upsell,2023-08-27 13:29:11,2024-01-13 08:52:33,Closed Lost,9912.45,0
OPP-000055,ACC-000042,PROD-0098,460,Expansion,2025-05-02 16:31:18,2025-07-03 22:39:10,Closed Lost,91910.79,0
OPP-000058,ACC-000057,PROD-0066,560,Cross-sell,2024-01-12 03:28:09,2024-04-25 08:43:16,Closed Won,35875.54,1
OPP-000063,ACC-000038,PROD-0053,182,New Business,2023-11-16 13:40:31,2024-04-03 22:01:20,Closed Won,38318.58,1
OPP-000067,ACC-000016,PROD-0013,336,Upsell,2025-05-31 06:27:03,2025-09-12 01:42:18,Closed Won,53260.14,1
OPP-000075,ACC-000050,PROD-0070,944,New Business,2024-05-26 14:42:19,2024-08-03 22:44:20,Closed Lost,40827.53,0
OPP-000098,ACC-000019,PROD-0029,81,Expansion,2024-08-05 09:59:16,2024-10-19 15:12:07,Closed Lost,68394.2,0
OPP-000100,ACC-000039,PROD-0084,413,New Business,2024-05-16 19:12:38,2024-09-13 17:25:36,Closed Lost,99425.3,0
OPP-000107,ACC-000026,PROD-0031,445,New Business,2023-12-05 12:56:06,2024-01-05 04:47:51,Closed Lost,5357.66,0
OPP-000111,ACC-000012,PROD-0051,43,Upsell,2024-01-24 23:31:00,2024-03-29 22:05:41,Closed Lost,71944.17,0
OPP-000119,ACC-000005,PROD-0048,978,Cross-sell,2024-05-26 04:54:37,2024-10-29 13:40:12,Closed Won,7717.3,1
OPP-000126,ACC-000044,PROD-0060,51,Expansion,2023-09-20 06:36:45,2024-03-15 21:28:55,Closed Won,99388.21,1
OPP-000129,ACC-000026,PROD-0038,266,Expansion,2024-10-06 19:16:25,2024-11-04 23:43:58,Closed Lost,86989.14,0
