0,1,2,3,4,5,6,7,8,9
OPP-000005,ACC-000030,PROD-0023,205,Renewal,2021-07-19 21:44:35,,Negotiation,9923.0400390625,0.800000011920929
OPP-000008,ACC-000030,PROD-0023,476,Renewal,2021-12-18 10:28:23,,Open,52812.53125,0.38999998569488525
OPP-000012,ACC-000018,PROD-0099,274,Renewal,2022-11-26 02:59:23,2023-01-06 17:02:41,Closed Lost,17653.609375,0.0
OPP-000013,ACC-000053,PROD-0050,587,Renewal,2024-08-21 03:24:45,,Negotiation,57456.98828125,0.8299999833106995
OPP-000016,ACC-000022,PROD-0081,907,Renewal,2022-05-11 03:59:38,,Negotiation,74449.9296875,0.6700000166893005
OPP-000018,ACC-000020,PROD-0063,867,Renewal,2024-09-06 04:59:47,,Qualified,73966.8828125,0.49000000953674316
OPP-000019,ACC-000018,PROD-0028,469,Renewal,2022-08-04 09:11:53,2022-11-19 22:47:30,Closed Lost,73046.3984375,0.0
OPP-000020,ACC-000023,PROD-0054,263,Renewal,2023-07-18 22:15:20,,Open,14005.990234375,0.6299999952316284
OPP-000022,ACC-000003,PROD-0008,153,Renewal,2024-08-05 11:15:08,,Open,92525.78125,0.20000000298023224
OPP-000025,ACC-000002,PROD-0051,495,Renewal,2024-05-01 16:17:21,,Qualified,66921.3203125,0.4099999964237213
OPP-000032,ACC-000012,PROD-0008,781,Renewal,2022-03-20 03:42:20,2022-04-01 19:50:19,Closed Lost,76537.6015625,0.0
OPP-000034,ACC-000032,PROD-0016,576,Renewal,2024-11-05 12:48:30,2025-03-21 18:51:28,Closed Won,70540.359375,1.0
OPP-000045,ACC-000034,PROD-0082,920,Renewal,2024-04-19 00:03:16,2024-06-28 22:47:50,Closed Lost,16774.0703125,0.0
OPP-000050,ACC-000041,PROD-0097,824,Renewal,2025-03-31 21:21:15,2025-08-05 23:49:46,Closed Won,20267.220703125,1.0
OPP-000065,ACC-000031,PROD-0052,570,Renewal,2021-08-29 07:48:21,,Proposal,71301.4375,0.36000001430511475
OPP-000071,ACC-000010,PROD-0082,864,Renewal,2024-08-27 22:37:35,,Proposal,14107.1298828125,0.46000000834465027
OPP-000076,ACC-000041,PROD-0001,460,Renewal,2023-01-01 15:11:09,,Proposal,41494.96875,0.4300000071525574
OPP-000079,ACC-000007,PROD-0002,54,Renewal,2022-06-30 12:04:50,,Open,50090.94140625,0.49000000953674316
OPP-000083,ACC-000002,PROD-0057,768,Renewal,2021-10-02 21:37:04,,Proposal,86734.140625,0.38999998569488525
OPP-000084,ACC-000001,PROD-0089,858,Renewal,2024-02-25 16:57:33,,Open,32813.921875,0.5699999928474426
OPP-000115,ACC-000055,PROD-0037,781,Renewal,2022-05-15 18:11:55,,Negotiation,98054.7421875,0.7099999785423279
OPP-000124,ACC-000048,PROD-0039,868,Renewal,2024-06-27 23:07:07,,Qualified,58492.91015625,0.23999999463558197
OPP-000125,ACC-000057,PROD-0042,731,Renewal,2025-04-24 13:34:28,,Proposal,27120.470703125,0.4399999976158142
OPP-000133,ACC-000019,PROD-0018,218,Renewal,2025-05-23 06:08:49,,Negotiation,66324.453125,0.6000000238418579
OPP-000138,ACC-000047,PROD-0065,717,Renewal,2024-07-20 04:24:54,2024-08-13 04:08:23,Closed Lost,40779.1015625,0.0
OPP-000141,ACC-000009,PROD-0064,277,Renewal,2025-03-26 01:00:54,2025-04-24 07:12:01,Closed Lost,47851.0390625,0.0
OPP-000142,ACC-000024,PROD-0073,949,Renewal,2024-08-01 01:13:07,2024-08-07 18:37:15,Closed Lost,83210.2421875,0.0
OPP-000143,ACC-000033,PROD-0085,366,Renewal,2024-09-29 15:12:52,,Qualified,88420.78125,0.41999998688697815
OPP-000144,ACC-000029,PROD-0035,323,Renewal,2022-11-05 15:15:28,,Proposal,64923.19921875,0.46000000834465027
OPP-000152,ACC-000041,PROD-0021,350,Renewal,2024-03-13 21:07:14,,Open,74905.796875,0.5199999809265137
OPP-000155,ACC-000042,PROD-0048,411,Renewal,2022-08-27 21:35:23,,Negotiation,75011.75,0.6800000071525574
OPP-000160,ACC-000021,PROD-0042,770,Renewal,2022-04-11 13:34:39,,Negotiation,35854.44140625,0.6800000071525574
OPP-000161,ACC-000001,PROD-0007,396,Renewal,2021-08-08 06:28:09,,Proposal,34420.26953125,0.41999998688697815
OPP-000162,ACC-000044,PROD-0008,366,Renewal,2024-09-24 23:49:52,2025-01-22 19:52:19,Closed Lost,38878.83984375,0.0
OPP-000164,ACC-000013,PROD-0068,417,Renewal,2022-08-17 03:05:17,,Proposal,2681.8701171875,0.550000011920929
OPP-000166,ACC-000059,PROD-0028,525,Renewal,2024-02-04 20:14:23,,Qualified,7015.5498046875,0.41999998688697815
OPP-000171,ACC-000033,PROD-0002,587,Renewal,2021-08-08 02:13:45,,Negotiation,64381.76171875,0.8700000047683716
OPP-000174,ACC-000034,PROD-0036,626,Renewal,2024-10-21 23:45:31,2025-01-23 12:53:09,Closed Lost,19929.76953125,0.0
OPP-000182,ACC-000033,PROD-0020,302,Renewal,2022-04-10 08:52:08,2022-09-23 20:04:47,Closed Won,82509.5390625,1.0
OPP-000186,ACC-000043,PROD-0071,288,Renewal,2022-01-28 04:34:29,,Open,58511.5703125,0.5199999809265137
OPP-000188,ACC-000054,PROD-0058,767,Renewal,2022-04-24 18:58:39,2022-06-08 17:29:11,Closed Won,51904.6484375,1.0
OPP-000190,ACC-000017,PROD-0071,525,Renewal,2023-03-25 07:02:12,,Open,21330.939453125,0.10999999940395355
OPP-000191,ACC-000006,PROD-0020,244,Renewal,2024-09-28 05:48:11,,Proposal,68444.6171875,0.5799999833106995
OPP-000195,ACC-000010,PROD-0076,569,Renewal,2024-08-24 19:09:50,2025-01-03 03:49:50,Closed Won,55774.6484375,1.0
OPP-000197,ACC-000021,PROD-0059,524,Renewal,2024-09-17 17:41:16,,Proposal,86362.96875,0.5600000023841858
OPP-000198,ACC-000023,PROD-0089,457,Renewal,2022-05-12 08:21:25,2022-05-26 04:34:28,Closed Lost,44783.66015625,0.0
OPP-000204,ACC-000048,PROD-0005,597,Renewal,2022-11-15 06:42:56,,Qualified,87955.796875,0.2199999988079071
OPP-000206,ACC-000019,PROD-0004,937,Renewal,2023-06-09 08:14:24,2023-11-29 16:41:41,Closed Won,72837.2890625,1.0
OPP-000207,ACC-000061,PROD-0018,628,Renewal,2022-07-16 22:29:50,,Negotiation,22644.349609375,0.7099999785423279
OPP-000216,ACC-000049,PROD-0039,858,Renewal,2022-10-27 15:23:34,,Negotiation,39273.7890625,0.7699999809265137
OPP-000220,ACC-000058,PROD-0025,426,Renewal,2024-08-24 22:56:12,,Open,46508.2890625,0.46000000834465027
OPP-000221,ACC-000005,PROD-0001,143,Renewal,2023-12-04 00:59:26,,Negotiation,91611.7890625,0.6399999856948853
OPP-000223,ACC-000029,PROD-0055,568,Renewal,2023-10-09 11:11:58,2024-01-20 10:57:04,Closed Won,49333.98828125,1.0
OPP-000227,ACC-000038,PROD-0097,366,Renewal,2021-08-27 09:33:33,,Qualified,89469.15625,0.4300000071525574
OPP-000232,ACC-000045,PROD-0011,383,Renewal,2025-03-23 03:15:12,,Qualified,29948.66015625,0.23000000417232513
OPP-000237,ACC-000041,PROD-0014,968,Renewal,2023-03-05 03:10:59,2023-07-26 21:19:26,Closed Lost,80044.75,0.0
OPP-000254,ACC-000027,PROD-0039,108,Renewal,2021-09-21 07:22:33,,Negotiation,78492.8671875,0.8100000023841858
OPP-000256,ACC-000036,PROD-0075,716,Renewal,2023-09-09 15:45:15,,Qualified,13600.900390625,0.3700000047683716
OPP-000257,ACC-000016,PROD-0020,297,Renewal,2025-05-02 09:11:56,2025-05-31 00:05:00,Closed Won,49891.55859375,1.0
OPP-000258,ACC-000042,PROD-0059,885,Renewal,2023-06-18 17:12:17,,Qualified,95139.3125,0.27000001072883606
OPP-000262,ACC-000026,PROD-0066,672,Renewal,2021-11-16 01:36:23,2022-04-06 09:23:04,Closed Won,9750.0595703125,1.0
OPP-000283,ACC-000008,PROD-0017,861,Renewal,2024-07-07 19:14:36,,Proposal,85257.3515625,0.3400000035762787
OPP-000284,ACC-000050,PROD-0078,219,Renewal,2024-11-16 20:53:15,,Open,85064.1796875,0.3199999928474426
OPP-000293,ACC-000029,PROD-0082,742,Renewal,2023-09-20 07:03:12,2024-02-05 15:12:46,Closed Lost,16450.169921875,0.0
OPP-000294,ACC-000017,PROD-0049,895,Renewal,2023-02-15 05:32:38,2023-07-07 09:01:17,Closed Lost,3232.97998046875,0.0
OPP-000297,ACC-000044,PROD-0035,996,Renewal,2022-03-03 23:13:14,2022-05-17 11:59:27,Closed Lost,14421.98046875,0.0
OPP-000306,ACC-000007,PROD-0084,269,Renewal,2022-02-16 17:28:47,,Negotiation,56011.3515625,0.6399999856948853
OPP-000323,ACC-000054,PROD-0018,620,Renewal,2021-07-04 01:26:41,,Open,19198.279296875,0.6299999952316284
